year,lat,long,num_flight,num_cancl,r_cancl,num_dely,r_dely,avg_dely
2006,19.73876583,-156.0456314,13126,95,0.007185538,2655,0.202270303,-0.110543959
2006,29.17991667,-81.05805556,3482,75,0.021085184,1354,0.388856979,14.60884549
2006,29.95083333,-94.02069444,354,13,0.035422343,110,0.310734463,8.34180791
2006,29.98047222,-95.33972222,221687,2374,0.010595329,100220,0.452078832,10.60004872
2006,30.20527972,-91.987655,5226,159,0.029526462,1678,0.321086873,8.812476081
2006,30.39652778,-84.35033333,3131,45,0.014168766,1032,0.329607154,9.593420632
2006,30.40728028,-89.07009278,6786,169,0.024299065,2478,0.365163572,11.31992337
2006,31.32133917,-85.44962889,1661,85,0.048682703,681,0.40999398,15.29680915
2006,32.11608333,-110.9410278,24827,206,0.008229138,8026,0.323277077,6.616828453
2006,32.33313333,-88.75120556,935,41,0.042008197,409,0.437433155,13.26203209
2006,34.18536111,-79.72388889,715,15,0.020547945,258,0.360839161,9.576223776
2006,34.72939611,-92.22424556,16674,332,0.019522521,6107,0.366258846,9.888149214
2006,35.13845472,-111.6712183,1648,81,0.046847889,360,0.218446602,4.998179612
2006,35.21401111,-80.94312583,115886,1569,0.013358307,55026,0.474828711,10.67748477
2006,35.23735278,-79.39116944,122,2,0.016129032,57,0.467213115,9.139344262
2006,35.33659028,-94.36744111,1745,54,0.030016676,549,0.314613181,7.648137536
2006,35.81248722,-83.99285583,9733,221,0.02220213,2901,0.298058153,9.000616459
2006,37.32668528,-79.20043056,1012,15,0.014605648,335,0.331027668,8.764822134
2006,38.13863889,-78.45286111,1928,39,0.019827148,418,0.216804979,3.556016598
2006,38.37315083,-81.59318972,4006,109,0.026488457,1188,0.296555167,9.674488268
2006,38.50886722,-107.8938333,2658,50,0.018463811,621,0.233634312,3.004514673
2006,39.1224125,-108.5267347,4614,117,0.024730501,1294,0.280450802,5.982878197
2006,39.29760528,-94.71390556,55374,544,0.009728531,20174,0.364322606,8.339184455
2006,40.78838778,-111.9777731,141053,1027,0.007228322,51480,0.364969196,5.784662503
2006,40.85097222,-96.75925,2802,104,0.035788025,999,0.356531049,15.45217702
2006,42.74811944,-73.80297861,14520,156,0.010629599,5172,0.356198347,9.311983471
2006,44.25406722,-121.1499633,3683,31,0.008346796,1232,0.33450991,6.294868314
2006,44.52019417,-109.0237961,1311,17,0.012801205,190,0.144927536,-2.218916857
2006,44.74144472,-85.582235,3674,122,0.032139094,1371,0.373162765,12.17719107
2006,46.77411111,-100.7467222,2320,44,0.018612521,524,0.225862069,3.040086207
2006,46.91630556,-114.0905556,4009,48,0.011831403,1310,0.326764779,3.084060863
2006,47.44898194,-122.3093131,106628,913,0.008489785,47364,0.444198522,9.962795889
2006,47.61985556,-117.5338425,14005,84,0.005962098,4453,0.317957872,4.5883613
2006,55.35556861,-131.71374,2342,46,0.019262982,862,0.368061486,8.503415884
2006,61.17432028,-149.9961856,19609,367,0.018372046,8283,0.422408078,8.873986435
