"year","manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
2006,BOEING,737-76N,37424,246,0.00653039554021768,18136,0.48460880718255667,12.345339888841385
2006,BOEING,737-832,68919,572,0.00823128174871566,24646,0.3576082067354431,6.162843337831367
2006,BOEING,757-212,2637,45,0.016778523489932886,1359,0.515358361774744,9.834281380356465
2006,BOEING,757-23N,372,0,0.0,256,0.6881720430107527,15.49731182795699
2006,BOEING,767-3CB,2017,0,0.0,586,0.29053049082796234,4.3520079325731285
2006,BOEING,767-432ER,17074,64,0.003734391410899755,7601,0.44517980555230174,8.26836125102495
2006,CESSNA,421C,2624,0,0.0,969,0.36928353658536583,10.315548780487806
2006,DEHAVILLAND,DHC-8-202,36152,1504,0.03994051412789462,10787,0.29837906616508075,8.754259791989378
2006,DIAMOND AIRCRAFT IND INC,DA 20-A1,1112,10,0.008912655971479501,480,0.4316546762589928,9.490107913669064
2006,DOUGLAS,DC-9-31,38390,917,0.02332917800900603,10765,0.28041156551185203,5.553164886689242
2006,EMBRAER,EMB-120ER,161340,0,0.0,62986,0.3903929589686377,8.059445890665675
2006,EMBRAER,EMB-135ER,20462,0,0.0,4148,0.20271723194213664,3.3276317075554687
2006,EMBRAER,EMB-135KL,116965,0,0.0,45463,0.38868892403710514,10.313384345744453
2006,EMBRAER,EMB-145,10972,0,0.0,4865,0.4434013853445133,12.80158585490339
2006,FREDERICK CHRIS K,FALCON-XP,1388,0,0.0,508,0.3659942363112392,8.377521613832853
2006,HELIO,HST-550,1359,0,0.0,514,0.37821927888153056,8.86607799852833
2006,MCDONNELL DOUGLAS,DC-9-51,50199,846,0.016573611519247723,19281,0.3840913165600908,8.930337257714298
2006,MCDONNELL DOUGLAS AIRCRAFT CO,MD 83,2965,28,0.009355162044771133,1391,0.46913996627318716,12.354468802698145
2006,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,170068,3665,0.021095589208728335,63156,0.3713573394171743,9.01587012253922
2006,PIPER,PA-31-350,1623,0,0.0,631,0.38878619839802836,12.025878003696858
2006,PIPER,PA-32RT-300,245,0,0.0,86,0.3510204081632653,9.204081632653061
2006,SAAB-SCANIA,SAAB 340B,25064,0,0.0,6824,0.2722630067028407,6.3115225023938715
1998,AERO COMMANDER,1121,146,0,0.0,77,0.5273972602739726,9.863013698630137
1998,AIRBUS INDUSTRIE,A320-211,31738,1255,0.038038371775831234,13803,0.4349045308463041,11.110151868422712
1998,BAUMAN RANDY,FALCON-XP,913,0,0.0,378,0.4140197152245345,6.258488499452355
1998,BEECH,E-90,136,0,0.0,61,0.4485294117647059,7.4338235294117645
1998,BOEING,737-301,8787,0,0.0,3896,0.4433822692614089,7.457038807329009
1998,BOEING,737-3B7,25508,11,4.3105137348642186E-4,12031,0.4716559510741728,8.991924102242434
1998,BOEING,737-3TO,58691,0,0.0,23825,0.4059395818779711,8.03525242371062
1998,BOEING,757-224,18527,0,0.0,8647,0.4667242402979435,8.662978355912992
1998,BOEING,757-251,55452,1764,0.03083053691275168,27037,0.4875748395008295,13.145008295462743
1998,BOEING,757-2G7,4378,63,0.014185994145462734,2482,0.566925536774783,21.39127455459114
1998,BOEING,757-2S7,8705,164,0.01849137445033262,4896,0.5624353819643882,21.353245261344057
1998,BOEING,767-223,2988,0,0.0,1356,0.4538152610441767,11.03045515394913
1998,BOEING,767-322,7201,5,6.938662225922842E-4,4403,0.6114428551590056,10.645743646715735
1998,BOEING,777-222,9714,9,9.256402344955261E-4,6443,0.6632695079267037,12.269919703520692
1998,MCDONNELL DOUGLAS,DC-9-82(MD-82),193438,0,0.0,73859,0.381822599489242,6.075760708857619
1998,MCDONNELL DOUGLAS,MD-90-30,27750,759,0.026623171630011575,11598,0.417945945945946,4.660684684684685
1998,MORSE GEORGE JR,F85P-1,913,0,0.0,399,0.4370208105147864,9.231106243154436
2006,AEROSPATIALE/ALENIA,ATR-72-212,12081,404,0.03235883059671606,5747,0.47570565350550453,17.614104792649616
2006,AIRBUS,A330-323,5,0,0.0,4,0.8,19.0
2006,AIRBUS INDUSTRIE,A319-114,36803,233,0.006291176152932282,11946,0.3245931038230579,4.631823492650056
2006,AIRBUS INDUSTRIE,A319-132,44457,410,0.009138119330465598,18197,0.4093168679847943,6.537890545920777
2006,BOEING,737-3Q8,16949,0,0.0,8766,0.5171986547878931,11.489822408401675
2006,BOEING,737-3T5,6763,0,0.0,3328,0.4920893094780423,10.202424959337572
2006,BOEING,737-3Y0,8952,26,0.0028959679215860993,4407,0.4922922252010724,10.654043789097408
2006,BOEING,737-824,88229,0,0.0,36181,0.4100805857484501,9.583878316653255
2006,BOEING,747-2B5F,2153,0,0.0,1023,0.47515095215977704,9.809103576405017
2006,BOEING,757-222,111492,55,4.930657032461653E-4,48073,0.4311789186668102,11.973657302766117
2006,BOEING,757-33N,8257,0,0.0,4278,0.5181058495821727,13.621775463243308
2006,BOEING,767-33A,5335,0,0.0,1661,0.311340206185567,6.360637300843487
2006,BOEING,767-3P6,46,1,0.02127659574468085,30,0.6521739130434783,20.5
